/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18402	Jair Ventura Filho	is	a former association footballer	0	3	9	10	10	14	0.8027153697296268	Jair Ventura Filho , better known as Jairzinho , is a former association footballer .	NNP NNP NNP , RB VBN IN NNP , VBZ DT JJ NN NN .	B-NP I-NP I-NP O B-VP I-VP B-PP B-NP O B-VP B-NP I-NP I-NP I-NP O	jair ventura filho	be	a former association footballer
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18426	Jairzinho	scored two goals in	the 1974 FIFA World Cup	0	1	1	5	5	10	0.9861526621334611	Jairzinho scored two goals in the 1974 FIFA World Cup , which would prove to be his last World Cup for Brazil .	NNP VBD CD NNS IN DT CD NNP NNP NNP , WDT MD VB TO VB PRP$ JJ NNP NNP IN NNP .	B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP I-VP I-VP I-VP B-NP I-NP I-NP I-NP B-PP B-NP O	jairzinho	score two goal in	the # fifa world cup
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18426	the 1974 FIFA World Cup	would prove to be	his last World Cup	5	10	12	16	16	20	0.7539071511177017	Jairzinho scored two goals in the 1974 FIFA World Cup , which would prove to be his last World Cup for Brazil .	NNP VBD CD NNS IN DT CD NNP NNP NNP , WDT MD VB TO VB PRP$ JJ NNP NNP IN NNP .	B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP I-VP I-VP I-VP B-NP I-NP I-NP I-NP B-PP B-NP O	the # fifa world cup	prove to be	his last world cup
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18427	The 3rd-Place Final	was his last match for	Brazil	0	3	3	8	8	9	0.98814470114608	The 3rd-Place Final was his last match for Brazil until he was given a one-off farewell cap against Czechoslovakia on March 3 , 1982 in a game which Brazil drew 1–1 .	DT NNP NNP VBD PRP$ JJ NN IN NNP IN PRP VBD VBN DT JJ NN NN IN NNP IN NNP CD , CD IN DT NN WDT NNP VBD CD .	B-NP I-NP I-NP B-VP B-NP I-NP I-NP B-PP B-NP B-SBAR B-NP B-VP I-VP B-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP B-NP B-NP B-VP B-NP O	the 3rd-place final	be match for	brazil
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18427	he	was given	a one-off farewell cap	10	11	11	13	13	17	0.33248441026767295	The 3rd-Place Final was his last match for Brazil until he was given a one-off farewell cap against Czechoslovakia on March 3 , 1982 in a game which Brazil drew 1–1 .	DT NNP NNP VBD PRP$ JJ NN IN NNP IN PRP VBD VBN DT JJ NN NN IN NNP IN NNP CD , CD IN DT NN WDT NNP VBD CD .	B-NP I-NP I-NP B-VP B-NP I-NP I-NP B-PP B-NP B-SBAR B-NP B-VP I-VP B-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP B-NP B-NP B-VP B-NP O	he	give	a one-off farewell cap
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18427	Brazil	drew	1–1	28	29	29	30	30	31	0.48291498582561954	The 3rd-Place Final was his last match for Brazil until he was given a one-off farewell cap against Czechoslovakia on March 3 , 1982 in a game which Brazil drew 1–1 .	DT NNP NNP VBD PRP$ JJ NN IN NNP IN PRP VBD VBN DT JJ NN NN IN NNP IN NNP CD , CD IN DT NN WDT NNP VBD CD .	B-NP I-NP I-NP B-VP B-NP I-NP I-NP B-PP B-NP B-SBAR B-NP B-VP I-VP B-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP B-NP B-NP B-VP B-NP O	brazil	draw	#
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18428	He	scored	33 goals	0	1	1	2	2	4	0.3154313966713446	He scored 33 goals in 82 games during his international career .	PRP VBD CD NNS IN CD NNS IN PRP$ JJ NN .	B-NP B-VP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP O	he	score	# goals
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18429	Jairzinho	finished	his career	0	1	1	2	2	4	0.4057307483124039	Jairzinho finished his career playing for Portuguesa in Venezuela , making it one of the greatest teams in Venezuelan history , helping Portuguesa win a record 16 games in a row and their fourth of five championships .	NNP VBD PRP$ NN VBG IN NNP IN NNP , VBG PRP CD IN DT JJS NNS IN JJ NN , VBG NNP VB DT NN CD NNS IN DT NN CC PRP$ JJ IN CD NNS .	B-NP B-VP B-NP I-NP B-VP B-PP B-NP B-PP B-NP O B-VP B-NP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP O B-VP B-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP O B-NP I-NP I-NP I-NP I-NP O	jairzinho	finish	his career
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18429	Portuguesa	win	a record 16 games	22	23	23	24	24	28	0.5047965632502924	Jairzinho finished his career playing for Portuguesa in Venezuela , making it one of the greatest teams in Venezuelan history , helping Portuguesa win a record 16 games in a row and their fourth of five championships .	NNP VBD PRP$ NN VBG IN NNP IN NNP , VBG PRP CD IN DT JJS NNS IN JJ NN , VBG NNP VB DT NN CD NNS IN DT NN CC PRP$ JJ IN CD NNS .	B-NP B-VP B-NP I-NP B-VP B-PP B-NP B-PP B-NP O B-VP B-NP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP O B-VP B-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP O B-NP I-NP I-NP I-NP I-NP O	portuguesa	win	a record # games
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18430	his retirement Jairzinho	became	a coach	1	4	4	5	5	7	0.7728101760778932	Following his retirement Jairzinho became a coach and coached the Gabon national team .	VBG PRP$ NN NNP VBD DT NN CC VBD DT NNP JJ NN .	B-VP B-NP I-NP I-NP B-VP B-NP I-NP O B-VP B-NP I-NP I-NP I-NP O	his retirement jairzinho	become	a coach
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18430	his retirement Jairzinho	coached	the Gabon national team	1	4	8	9	9	13	0.9182709489394719	Following his retirement Jairzinho became a coach and coached the Gabon national team .	VBG PRP$ NN NNP VBD DT NN CC VBD DT NNP JJ NN .	B-VP B-NP I-NP I-NP B-VP B-NP I-NP O B-VP B-NP I-NP I-NP I-NP O	his retirement jairzinho	coach	the gabon national team
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18431	Jairzinho	was sacked by	Gabon 's Football Federation	2	3	3	6	6	10	0.9728099262732228	However , Jairzinho was sacked by Gabon 's Football Federation after a crushing defeat against Angola in a World Cup 2006 Qualifier held in Luanda .	RB , NNP VBD VBN IN NNP POS NNP NNP IN DT VBG NN IN NNP IN DT NNP NNP CD NNP VBD IN NNP .	B-ADVP O B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP B-VP B-PP B-NP O	jairzinho	sack by	gabon 's football federation
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18431	a World Cup 2006 Qualifier	held in	Luanda	17	22	22	24	24	25	0.8766543878707369	However , Jairzinho was sacked by Gabon 's Football Federation after a crushing defeat against Angola in a World Cup 2006 Qualifier held in Luanda .	RB , NNP VBD VBN IN NNP POS NNP NNP IN DT VBG NN IN NNP IN DT NNP NNP CD NNP VBD IN NNP .	B-ADVP O B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP B-VP B-PP B-NP O	a world cup # qualifier	hold in	luanda
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18432	a coach	was spotting	Ronaldo	5	7	7	9	9	10	0.9471661930312515	Perhaps his greatest achievement as a coach was spotting Ronaldo as a 14 year old whilst he was coaching São Cristóvão .	RB PRP$ JJS NN IN DT NN VBD VBG NNP IN DT CD NN JJ IN PRP VBD VBG NNP NNP .	B-ADVP B-NP I-NP I-NP B-PP B-NP I-NP B-VP I-VP B-NP B-PP B-NP I-NP I-NP B-ADJP B-SBAR B-NP B-VP I-VP B-NP I-NP O	a coach	spot	ronaldo
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18432	he	was coaching	São Cristóvão	16	17	17	19	19	21	0.7002595793851732	Perhaps his greatest achievement as a coach was spotting Ronaldo as a 14 year old whilst he was coaching São Cristóvão .	RB PRP$ JJS NN IN DT NN VBD VBG NNP IN DT CD NN JJ IN PRP VBD VBG NNP NNP .	B-ADVP B-NP I-NP I-NP B-PP B-NP I-NP B-VP I-VP B-NP B-PP B-NP I-NP I-NP B-ADJP B-SBAR B-NP B-VP I-VP B-NP I-NP O	he	coach	são cristóvão
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18433	He	kick-started	the career of the future three-time FIFA World Player of the Year	0	1	1	2	2	14	0.6021350111765814	He kick-started the career of the future three-time FIFA World Player of the Year by recommending him to Cruzeiro , his former side , and the Brazil youth team .	PRP VBD DT NN IN DT JJ JJ NNP NNP NNP IN DT NN IN VBG PRP TO NNP , PRP$ JJ NN , CC DT NNP NN NN .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-VP B-NP B-PP B-NP O B-NP I-NP I-NP O O B-NP I-NP I-NP I-NP O	he	kick-started	the career of the future three-time fifa world player of the year
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18434	Jairzinho	is currently the manager of	Esprof Atletico futebol Clube	0	1	1	6	6	10	0.9646198071876397	Jairzinho is currently the manager of Esprof Atletico futebol Clube , a team based in Cabo Frio , Rio de Janeiro state who play in the Campeonato Carioca .	NNP VBZ RB DT NN IN NNP NNP NN NNP , DT NN VBN IN NNP NNP , NNP IN NNP NN WP VBP IN DT NNP NNP .	B-NP B-VP B-ADVP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP B-VP B-PP B-NP I-NP O B-NP B-PP B-NP I-NP B-NP B-VP B-PP B-NP I-NP I-NP O	jairzinho	be manager of	esprof atletico futebol clube
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18434	Janeiro state	play in	the Campeonato Carioca	20	22	23	25	25	28	0.6565096868711807	Jairzinho is currently the manager of Esprof Atletico futebol Clube , a team based in Cabo Frio , Rio de Janeiro state who play in the Campeonato Carioca .	NNP VBZ RB DT NN IN NNP NNP NN NNP , DT NN VBN IN NNP NNP , NNP IN NNP NN WP VBP IN DT NNP NNP .	B-NP B-VP B-ADVP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP B-VP B-PP B-NP I-NP O B-NP B-PP B-NP I-NP B-NP B-VP B-PP B-NP I-NP I-NP O	janeiro state	play in	the campeonato carioca
